x_m,y_m,heading,theta_rad,kappa_1pm,v_mps,ld_m
11.9038705,-70.3266032,2.3195509,2.3195509,-0.0524771,8.4999717,1.274996
11.7676890,-70.1800569,2.3084893,2.3084893,-0.0551040,8.4999724,1.274996
11.6331280,-70.0320035,2.2958707,2.2958707,-0.0622899,8.4999728,1.274996
11.5005248,-69.8823530,2.2806547,2.2806547,-0.0769016,8.4999725,1.274996
11.3702306,-69.7307216,2.2637797,2.2637797,-0.0843601,8.4999713,1.274996
11.2425005,-69.5768974,2.2454033,2.2454033,-0.0920703,8.4999692,1.274995
11.1176220,-69.4207564,2.2256576,2.2256576,-0.0988782,8.4999661,1.274995
10.9958497,-69.2621788,2.2046515,2.2046515,-0.1052580,8.4999623,1.274994
10.8774010,-69.1010320,2.1825129,2.1825129,-0.1109005,8.4999583,1.274994
10.7625535,-68.9373096,2.1593896,2.1593896,-0.1158567,8.4999547,1.274993
10.6515326,-68.7709912,2.1354543,2.1354543,-0.1199617,8.4999524,1.274993
10.5445438,-68.6020946,2.1108990,2.1108990,-0.1231140,8.4999510,1.274993
10.4416805,-68.4305326,2.0859694,2.0859694,-0.1248689,8.4999498,1.274992
10.3430745,-68.2563694,2.0609878,2.0609878,-0.1251722,8.4999488,1.274992
10.2488289,-68.0797585,2.0363343,2.0363343,-0.1230533,8.4999488,1.274992
10.1589823,-67.9009113,2.0116166,2.0116166,-0.1235255,8.4999527,1.274993
10.0737515,-67.7202545,1.9873784,1.9873784,-0.1225181,8.4999703,1.274996
9.9929855,-67.5377239,1.9651707,1.9651707,-0.1099086,8.4999892,1.274998
9.9161822,-67.3531794,1.9433616,1.9433616,-0.1096996,8.4999619,1.274994
9.8434189,-67.1669970,1.9214853,1.9214853,-0.1091577,8.4999126,1.274987
9.7747493,-66.9792774,1.8993134,1.8993134,-0.1109426,8.4998940,1.274984
9.7102410,-66.7900307,1.8767366,1.8767366,-0.1129070,8.4999087,1.274986
9.6499926,-66.5992849,1.8537088,1.8537088,-0.1151177,8.4999347,1.274990
9.5941516,-66.4072002,1.8302676,1.8302676,-0.1172473,8.4999498,1.274992
9.5428829,-66.2140654,1.8064659,1.8064659,-0.1191155,8.4999492,1.274992
9.4962102,-66.0197025,1.7823629,1.7823629,-0.1205915,8.4999401,1.274991
9.4542239,-65.8242180,1.7580393,1.7580393,-0.1216535,8.4999325,1.274990
9.4169971,-65.6277315,1.7335783,1.7335783,-0.1223199,8.4999358,1.274990
9.3845833,-65.4303694,1.7090519,1.7090519,-0.1226342,8.4999521,1.274993
9.3570178,-65.2322606,1.6845220,1.6845220,-0.1226534,8.4999737,1.274996
9.3343195,-65.0335336,1.6600377,1.6600377,-0.1224332,8.4999874,1.274998
9.3164936,-64.8343149,1.6356351,1.6356351,-0.1220357,8.4999653,1.274995
9.3035345,-64.6347285,1.6113455,1.6113455,-0.1214913,8.4998508,1.274978
9.2954270,-64.4348956,1.5871984,1.5871984,-0.1207998,8.4996385,1.274946
9.2921472,-64.2349507,1.5632226,1.5632226,-0.1199582,8.4994268,1.274914
9.2936616,-64.0350004,1.5394473,1.5394473,-0.1189648,8.4994716,1.274921
9.2999292,-63.8351363,1.5159216,1.5159216,-0.1177153,8.4999529,1.274993
9.3108968,-63.6354708,1.4927076,1.4927076,-0.1161599,8.4999630,1.274994
9.3264963,-63.4361106,1.4698948,1.4698948,-0.1141869,8.4999648,1.274995
9.3466394,-63.2371573,1.4476482,1.4476482,-0.1114584,8.4999660,1.274995
9.3712038,-63.0386963,1.4263128,1.4263128,-0.1070225,8.4999667,1.274995
9.3999980,-62.8407944,1.4062724,1.4062724,-0.1002731,8.4999671,1.274995
9.4327505,-62.6435195,1.3878253,1.3878253,-0.0928653,8.4999673,1.274995
