x_m,y_m,heading,theta_rad,kappa_1pm,v_mps
7.1600812,25.1773362,0.0344954,0.0344954,0.0026398,8.4999677
7.3599153,25.1842323,0.0351219,0.0351219,0.0031328,8.4999677
7.5597454,25.1912536,0.0358425,0.0358425,0.0036037,8.4999677
7.7595703,25.1984189,0.0366603,0.0366603,0.0040916,8.4999677
7.9593893,25.2057476,0.0375771,0.0375771,0.0045842,8.4999677
8.1592016,25.2132595,0.0385906,0.0385906,0.0050699,8.4999677
8.3590062,25.2209739,0.0396967,0.0396967,0.0055330,8.4999677
8.5588021,25.2289093,0.0408864,0.0408864,0.0059554,8.4999677
8.7585885,25.2370824,0.0421483,0.0421483,0.0063157,8.4999677
8.9583644,25.2455076,0.0434648,0.0434648,0.0065894,8.4999677
9.1581290,25.2541958,0.0448124,0.0448124,0.0067489,8.4999677
9.3578817,25.2631532,0.0461631,0.0461631,0.0067637,8.4999677
9.5576221,25.2723804,0.0474809,0.0474809,0.0066003,8.4999677
9.7573501,25.2818708,0.0487222,0.0487222,0.0062230,8.4999677
9.9570660,25.2916091,0.0498383,0.0498383,0.0055940,8.4999677
10.1567709,25.3015703,0.0507692,0.0507692,0.0046743,8.4999677
10.3564664,25.3117174,0.0514513,0.0514513,0.0034248,8.4999677
10.5561548,25.3220007,0.0518084,0.0518084,0.0018073,8.4999676
10.7558393,25.3323553,0.0517623,0.0517623,-0.0002143,8.4999676
10.9555243,25.3427007,0.0512245,0.0512245,-0.0026723,8.4999676
11.1552147,25.3529387,0.0501023,0.0501023,-0.0055935,8.4999676
11.3549164,25.3629526,0.0482997,0.0482997,-0.0089976,8.4999675
11.5546358,25.3726065,0.0457178,0.0457178,-0.0128958,8.4999675
11.7543793,25.3817447,0.0422585,0.0422585,-0.0172869,8.4999676
11.9541536,25.3901919,0.0378257,0.0378257,-0.0221584,8.4999676
12.1539618,25.3977534,0.0323615,0.0323615,-0.0273425,8.4999678
12.3538149,25.4042232,0.0259416,0.0259416,-0.0321118,8.4999681
12.5537268,25.4094104,0.0183170,0.0183170,-0.0379189,8.4999685
12.7536769,25.4130733,0.0090393,0.0090393,-0.0464493,8.4999691
12.9536433,25.4148809,-0.0018162,-0.0018162,-0.0542715,8.4999699
13.1536167,25.4145177,-0.0142497,-0.0142497,-0.0621796,8.4999708
13.3535652,25.4116683,-0.0282444,-0.0282444,-0.0700012,8.4999715
13.5534491,25.4060212,-0.0437609,-0.0437609,-0.0776450,8.4999719
13.7532147,25.3972737,-0.0607239,-0.0607239,-0.0849145,8.4999717
13.9527963,25.3851394,-0.0790333,-0.0790333,-0.0916862,8.4999706
14.1521151,25.3693537,-0.0985742,-0.0985742,-0.0978745,8.4999686
14.3510893,25.3496762,-0.1192231,-0.1192231,-0.1034288,8.4999657
14.5496398,25.3258916,-0.1408546,-0.1408546,-0.1083217,8.4999621
14.7476291,25.2978180,-0.1633431,-0.1633431,-0.1125954,8.4999585
14.9449339,25.2652999,-0.1865642,-0.1865642,-0.1162588,8.4999553
15.1414233,25.2282107,-0.2103950,-0.2103950,-0.1193085,8.4999533
15.3369608,25.1864526,-0.2347141,-0.2347141,-0.1217693,8.4999522
15.5314055,25.1399567,-0.2593975,-0.2593975,-0.1236130,8.4999513
15.7246664,25.0886698,-0.2843126,-0.2843126,-0.1247396,8.4999508
15.9166755,25.0325591,-0.3093065,-0.3093065,-0.1250647,8.4999509
16.1072417,24.9716612,-0.3342039,-0.3342039,-0.1245473,8.4999539
16.2962341,24.9060376,-0.3588191,-0.3588191,-0.1231232,8.4999665
16.4835268,24.8357925,-0.3829547,-0.3829547,-0.1207545,8.4999864
16.6690066,24.7610733,-0.4064271,-0.4064271,-0.1174797,8.4999783
16.8525843,24.6820633,-0.4290906,-0.4290906,-0.1134772,8.4999436
17.0342189,24.5989617,-0.4509025,-0.4509025,-0.1090082,8.4999183
17.2141752,24.5118325,-0.4719582,-0.4719582,-0.1050631,8.4999163
17.3922785,24.4209229,-0.4930016,-0.4930016,-0.1051031,8.4999260
17.5681968,24.3264108,-0.5145590,-0.5145590,-0.1082988,8.4999360
17.7422512,24.2280075,-0.5362967,-0.5362967,-0.1081843,8.4999434
